Precinct,Yes,No,Total Votes Cast,Overvotes,Undervotes,Contest Total
PM,305,117,422,0,104,526
RV-A,355,203,558,0,109,667
RV-B,263,195,458,0,102,560
RV-C,365,211,576,0,132,708
RV-D,360,231,591,0,137,728
RV-E,284,246,530,0,89,619
RV-F,334,163,497,0,104,601
RV-G,242,182,424,0,112,536
RV-H,186,108,294,0,66,360
RV-I,253,167,420,0,106,526
RV-J,260,152,412,0,100,512
RV-K,382,172,554,0,136,690
RV-L,201,130,331,0,89,420
RV-M,413,207,620,0,94,714
RV-N,269,152,421,0,101,522
RV-O,376,213,589,0,127,716
RV-P,380,254,634,1,121,756