Precinct,Helen Wallace,Total Votes Cast,Overvotes,Undervotes,Contest Total
BRK-A,454,454,0,469,923
BRK-B,335,335,0,364,699
BRK-C,401,401,0,510,911
BRK-D,358,358,0,426,784
BTLTWP-A,397,397,0,432,829
BTLTWP-B,328,328,0,399,727
BTLTWP-C,469,469,0,456,925
BTLTWP-D,434,434,0,427,861
BTLTWP-E,315,315,0,282,597
BTLTWP-F,328,328,0,359,687
BTLTWP-G,272,272,0,249,521
CLATWP-A,263,263,0,334,597
CLATWP-B,262,262,0,358,620
CLATWP-C,385,385,0,546,931
CTN 1-A,277,277,0,331,608
CTN 1-B,384,384,0,309,693
CTN 1-C,470,470,0,471,941
CTN 1-D,343,343,0,256,599
CTN 2-A,325,325,0,330,655
CTN 2-B,484,484,0,374,858
CTN 2-C,498,498,0,399,897
CTN 3-A,440,440,0,423,863
CTN 3-B,426,426,0,402,828
CTN 3-C,420,420,0,318,738
CV-A,358,358,0,280,638
CV-B,430,430,0,451,881
CV-C,273,273,0,292,565
CV-D,327,327,0,322,649
CV-E,388,388,0,431,819
CV-F,454,454,0,482,936
CV-G,515,515,0,490,1005
CV-H,503,503,0,506,1009
CV-I,514,514,0,577,1091
CV-J,431,431,0,484,915
CV-K,447,447,0,496,943
CV-L,516,516,0,516,1032
CV-M,435,435,0,428,863
CV-N,401,401,0,381,782
CV-O,561,561,0,545,1106
CV-P,488,488,0,476,964
CV-Q,417,417,0,464,881
CV-R,430,430,0,451,881
DAY 1-A,90,90,0,123,213
DAY 1-B,397,397,0,342,739
DAY 1-C,285,285,0,237,522
DAY 1-D,148,148,0,185,333
DAY 1-E,323,323,0,318,641
DAY 2-A,225,225,0,218,443
DAY 2-B,267,267,0,244,511
DAY 2-C,252,252,0,287,539
DAY 2-D,180,180,0,210,390
DAY 3-A,117,117,0,154,271
DAY 3-B,165,165,0,223,388
DAY 3-C,479,479,0,422,901
DAY 3-D,234,234,0,265,499
DAY 3-E,157,157,0,120,277
DAY 3-F,355,355,0,374,729
DAY 3-G,235,235,0,249,484
DAY 3-H,225,225,0,274,499
DAY 3-I,442,442,0,404,846
DAY 3-J,340,340,0,379,719
DAY 3-K,466,466,0,428,894
DAY 3-L,391,391,0,428,819
DAY 4-A,299,299,0,214,513
DAY 4-B,217,217,0,181,398
DAY 4-C,211,211,0,218,429
DAY 5-A,198,198,0,169,367
DAY 5-B,221,221,0,164,385
DAY 5-C,172,172,0,149,321
DAY 5-D,255,255,0,188,443
DAY 6-A,248,248,0,198,446
DAY 6-B,254,254,0,180,434
DAY 6-C,209,209,0,179,388
DAY 7-A,204,204,0,176,380
DAY 7-B,194,194,0,105,299
DAY 8-A,346,346,0,358,704
DAY 8-B,347,347,0,330,677
DAY 8-C,333,333,0,359,692
DAY 8-D,341,341,0,335,676
DAY 9-A,443,443,0,415,858
DAY 9-B,394,394,0,402,796
DAY 9-C,395,395,0,471,866
DAY 9-D,310,310,0,360,670
DAY 10-A,275,275,0,316,591
DAY 10-B,230,230,0,274,504
DAY 10-C,237,237,0,243,480
DAY 10-D,288,288,0,327,615
DAY 10-E,238,238,0,295,533
DAY 11-A,178,178,0,204,382
DAY 11-B,223,223,0,208,431
DAY 11-C,249,249,0,184,433
DAY 11-D,299,299,0,295,594
DAY 11-E,217,217,0,248,465
DAY 12-A,350,350,0,341,691
DAY 12-B,208,208,0,250,458
DAY 12-C,290,290,0,241,531
DAY 12-D,196,196,0,209,405
DAY 13-A,238,238,0,188,426
DAY 13-B,157,157,0,110,267
DAY 14-A,300,300,0,214,514
DAY 14-B,119,119,0,86,205
DAY 14-C,155,155,0,147,302
DAY 14-D,343,343,0,216,559
DAY 15-A,257,257,0,216,473
DAY 15-B,315,315,0,221,536
DAY 15-C,202,202,0,177,379
DAY 15-D,239,239,0,209,448
DAY 16-A,255,255,0,199,454
DAY 16-B,206,206,0,144,350
DAY 16-C,227,227,0,172,399
DAY 16-D,438,438,0,314,752
DAY 16-E,275,275,0,176,451
DAY 17-A,196,196,0,151,347
DAY 17-B,245,245,0,221,466
DAY 17-C,291,291,0,204,495
DAY 17-D,177,177,0,136,313
DAY 18-A,196,196,0,141,337
DAY 18-B,347,347,0,224,571
DAY 18-C,220,220,0,195,415
DAY 18-D,244,244,0,163,407
DAY 19-A,114,114,0,88,202
DAY 19-B,268,268,0,225,493
DAY 19-C,242,242,0,150,392
DAY 20-A,379,379,0,434,813
DAY 20-B,402,402,0,472,874
DAY 20-C,272,272,0,301,573
DAY 20-D,296,296,0,324,620
DAY 21-A,221,221,0,153,374
DAY 21-B,218,218,0,154,372
DAY 21-C,309,309,0,264,573
DAY 22-A,422,422,0,298,720
DAY 22-B,325,325,0,231,556
DAY 22-C,500,500,0,312,812
DAY 23-A,269,269,0,287,556
ENG-A,447,447,0,386,833
ENG-B,396,396,0,379,775
ENG-C,403,403,0,334,737
ENG-D,484,484,0,401,885
ENG-E,460,460,0,392,852
ENG-F,346,346,0,352,698
ENG-G,428,428,0,389,817
ENG-H,340,340,0,289,629
ENG-I,313,313,0,273,586
ENG-J,388,388,0,327,715
FARM,249,249,0,308,557
GERTWP-A,393,393,0,584,977
GERTWP-B,412,412,0,539,951
GTN-A,366,366,0,434,800
GTN-B,364,364,0,383,747
GTN-C,365,365,0,404,769
GTN-D,367,367,0,465,832
HARTWP-A,199,199,0,234,433
HARTWP-B,271,271,0,269,540
HARTWP-C,260,260,0,305,565
HARTWP-D,449,449,0,349,798
HARTWP-E,165,165,0,178,343
HARTWP-F,199,199,0,122,321
HARTWP-G,291,291,0,254,545
HARTWP-H,317,317,0,265,582
HARTWP-I,303,303,0,243,546
HARTWP-J,278,278,0,257,535
HARTWP-K,311,311,0,220,531
HARTWP-L,451,451,0,311,762
HARTWP-M,503,503,0,351,854
HARTWP-N,253,253,0,252,505
HARTWP-O,419,419,0,326,745
HUB 1-A,393,393,0,423,816
HUB 1-B,525,525,0,446,971
HUB 1-C,377,377,0,359,736
HUB 1-D,447,447,0,457,904
HUB 2-A,421,421,0,411,832
HUB 2-B,436,436,0,449,885
HUB 3-A,319,319,0,311,630
HUB 3-B,329,329,0,251,580
HUB 3-C,294,294,0,296,590
HUB 3-D,433,433,0,413,846
HUB 3-E,329,329,0,321,650
HUB 4-A,387,387,0,417,804
HUB 4-B,371,371,0,384,755
HUB 4-C,438,438,0,399,837
HUB 4-D,431,431,0,365,796
HUB 5-A,409,409,0,335,744
HUB 5-B,392,392,0,354,746
HUB 5-C,375,375,0,374,749
HUB 5-D,402,402,0,369,771
HUB 6-A,325,325,0,313,638
HUB 6-B,447,447,0,418,865
HUB 6-C,430,430,0,378,808
HUB 6-D,384,384,0,377,761
JAKTWP-A,384,384,0,575,959
JAKTWP-B,286,286,0,386,672
JEFTWP-A,448,448,0,491,939
JEFTWP-B,295,295,0,255,550
JEFTWP-C,314,314,0,380,694
JEFTWP-D,402,402,0,281,683
JNLB-A,195,195,0,284,479
JNLB-B,324,324,0,423,747
KT 1-A,348,348,0,309,657
KT 1-B,299,299,0,353,652
KT 1-C,413,413,0,461,874
KT 1-D,445,445,0,398,843
KT 1-E,346,346,0,336,682
KT 1-F,333,333,0,334,667
KT 1-G,323,323,0,386,709
KT 1-H,460,460,0,452,912
KT 1-I,411,411,0,372,783
KT 2-A,370,370,0,396,766
KT 2-B,384,384,0,355,739
KT 2-C,403,403,0,390,793
KT 2-D,458,458,0,415,873
KT 2-E,425,425,0,384,809
KT 2-F,351,351,0,313,664
KT 2-G,482,482,0,548,1030
KT 2-H,416,416,0,457,873
KT 2-I,332,332,0,328,660
KT 2-J,299,299,0,255,554
KT 3-A,426,426,0,402,828
KT 3-B,400,400,0,392,792
KT 3-C,376,376,0,326,702
KT 3-D,409,409,0,437,846
KT 3-E,337,337,0,347,684
KT 3-F,389,389,0,290,679
KT 3-G,430,430,0,377,807
KT 3-H,328,328,0,360,688
KT 3-I,323,323,0,348,671
KT 3-J,474,474,0,472,946
KT 3-K,478,478,0,444,922
KT 4-A,488,488,0,451,939
KT 4-B,277,277,0,286,563
KT 4-C,418,418,0,396,814
KT 4-D,329,329,0,402,731
KT 4-E,391,391,0,379,770
KT 4-F,503,503,0,493,996
KT 4-G,358,358,0,321,679
KT 4-H,430,430,0,418,848
KT 4-I,403,403,0,363,766
KT 4-J,406,406,0,385,791
KT 4-K,405,405,0,495,900
MBG 1-A,410,410,0,449,859
MBG 1-B,406,406,0,370,776
MBG 1-C,432,432,0,381,813
MBG 2-A,281,281,0,329,610
MBG 2-B,387,387,0,420,807
MBG 2-C,407,407,0,454,861
MBG 3-A,301,301,0,295,596
MBG 3-B,369,369,0,426,795
MBG 3-C,346,346,0,349,695
MBG 3-D,411,411,0,432,843
MBG 4-A,359,359,0,381,740
MBG 4-B,313,313,0,349,662
MBG 4-C,299,299,0,298,597
MBG 4-D,546,546,0,554,1100
MIATWP-A,387,387,0,429,816
MIATWP-B,336,336,0,382,718
MIATWP-C,362,362,0,479,841
MIATWP-D,316,316,0,393,709
MIATWP-E,465,465,0,506,971
MIATWP-F,420,420,0,335,755
MIATWP-G,331,331,0,349,680
MIATWP-H,358,358,0,345,703
MIATWP-I,211,211,0,218,429
MIATWP-J,286,286,0,411,697
MIATWP-K,447,447,0,492,939
MIATWP-L,281,281,0,335,616
MIATWP-M,377,377,0,324,701
MIATWP-N,401,401,0,400,801
MIATWP-O,378,378,0,372,750
MIATWP-P,279,279,0,245,524
MIATWP-Q,425,425,0,371,796
MIATWP-R,219,219,0,209,428
MIATWP-S,345,345,0,406,751
MIATWP-T,299,299,0,326,625
MIATWP-U,305,305,0,298,603
MIATWP-V,349,349,0,388,737
MOR 1-A,214,214,0,250,464
MOR 2-A,425,425,0,409,834
MOR 3-A,231,231,0,296,527
MOR 4-A,239,239,0,228,467
MOR 4-B,203,203,0,181,384
OAK-A,440,440,0,393,833
OAK-B,431,431,0,396,827
OAK-C,339,339,0,342,681
OAK-D,358,358,0,326,684
OAK-E,356,356,0,346,702
OAK-F,471,471,0,398,869
OAK-G,397,397,0,357,754
OAK-H,299,299,0,311,610
PERTWP-A,244,244,0,354,598
PERTWP-B,294,294,0,359,653
PERTWP-C,306,306,0,462,768
PHBG,121,121,0,116,237
PM,287,287,0,240,527
PNLB,252,252,0,279,531
RV-A,334,334,0,336,670
RV-B,249,249,0,311,560
RV-C,352,352,0,356,708
RV-D,316,316,0,412,728
RV-E,291,291,0,329,620
RV-F,309,309,0,292,601
RV-G,263,263,0,276,539
RV-H,182,182,0,180,362
RV-I,244,244,0,282,526
RV-J,269,269,0,243,512
RV-K,344,344,0,347,691
RV-L,196,196,0,225,421
RV-M,382,382,0,334,716
RV-N,257,257,0,265,522
RV-O,353,353,0,364,717
RV-P,410,410,0,347,757
TR 1-A,421,421,0,313,734
TR 1-B,223,223,0,183,406
TR 1-C,310,310,0,225,535
TR 1-D,283,283,0,157,440
TR 1-E,442,442,0,289,731
TR 2-A,375,375,0,237,612
TR 2-B,411,411,0,298,709
TR 2-C,307,307,0,212,519
TR 2-D,246,246,0,185,431
TR 2-E,311,311,0,195,506
TR 3-A,252,252,0,220,472
TR 3-B,296,296,0,314,610
TR 3-C,241,241,0,229,470
TR 3-D,369,369,0,314,683
TR 4-A,406,406,0,264,670
TR 4-B,315,315,0,248,563
TR 4-C,278,278,0,171,449
TR 4-D,278,278,0,192,470
UN-A,251,251,0,228,479
UN-B,355,355,0,362,717
UN-C,374,374,0,424,798
UN-D,457,457,0,387,844
UN-E,382,382,0,445,827
VD-A,338,338,0,378,716
VD-B,245,245,0,200,445
VD-C,412,412,0,426,838
VD-D,383,383,0,358,741
VD-E,267,267,0,283,550
VD-F,435,435,0,415,850
VD-G,293,293,0,370,663
VD-H,450,450,0,455,905
VD-I,362,362,0,392,754
VD-J,451,451,0,501,952
VD-K,466,466,0,412,878
WASTWP-A,358,358,0,420,778
WASTWP-B,545,545,0,541,1086
WASTWP-C,423,423,0,472,895
WASTWP-D,322,322,0,335,657
WASTWP-E,456,456,0,464,920
WASTWP-F,312,312,0,289,601
WASTWP-G,491,491,0,509,1000
WASTWP-H,388,388,0,421,809
WASTWP-I,347,347,0,326,673
WASTWP-J,452,452,0,416,868
WASTWP-K,383,383,0,436,819
WASTWP-L,343,343,0,385,728
WASTWP-M,441,441,0,496,937
WASTWP-N,453,453,0,391,844
WASTWP-O,422,422,0,459,881
WASTWP-P,503,503,0,487,990
WASTWP-Q,487,487,0,483,970
WASTWP-R,386,386,0,325,711
WASTWP-S,324,324,0,418,742
WASTWP-T,377,377,0,363,740
WASTWP-U,426,426,0,453,879
WASTWP-V,395,395,0,445,840
WASTWP-W,302,302,0,293,595
WASTWP-X,371,371,0,338,709
WASTWP-Y,579,579,0,529,1108
WASTWP-Z,385,385,0,375,760
WASTWP-AA,388,388,0,440,828
WASTWP-BB,315,315,0,309,624
WASTWP-CC,455,455,0,573,1028
WCR-A,330,330,0,373,703
WCR-B,351,351,0,385,736
WCR-C,353,353,0,401,754
WCR-D,322,322,0,414,736
WCR-E,254,254,0,226,480
WCR-F,292,292,0,279,571
WCR-G,374,374,0,381,755
WCR-H,326,326,0,391,717
WCR-I,277,277,0,242,519