Precinct,Lori Hartman,Mark Haworth,Angela Howell,Total Votes Cast,Overvotes,Undervotes,Contest Total,,,,,,,
BRK-A1,124,191,147,462,0,170,632,,,,,,,
BRK-A2,0,3,2,5,0,1,6,,,,,,,
BRK-B,82,126,101,309,0,105,414,,,,,,,
BRK-C,127,149,150,426,0,154,580,,,,,,,
CLATWP-A,121,109,133,363,0,93,456,,,,,,,
CLATWP-B1,68,107,88,263,0,87,350,,,,,,,
CLATWP-B2,6,15,6,27,0,9,36,,,,,,,
CLATWP-C1,54,115,69,238,0,88,326,,,,,,,
CLATWP-C2,19,38,27,84,0,26,110,,,,,,,
CLATWP-C3,38,48,49,135,0,47,182,,,,,,,
CLATWP-C4,3,6,2,11,0,9,20,,,,,,,
CTN 1-C2,9,6,8,23,0,19,42,,,,,,,21
PHBG,49,42,39,130,0,48,178,,,,,,,