Precinct,Linda Blum,Chris Pulos,Jane A. Woodie,Total Votes Cast,Overvotes,Undervotes,Contest Total
CLATWP-A,94,87,103,284,0,400,684
CLATWP-B2,9,8,8,25,0,29,54
CLATWP-C3,39,33,34,106,0,167,273
CTN 1-A1,161,152,161,474,0,636,1110
CTN 1-A2,1,2,1,4,0,2,6
CTN 1-B1,41,30,31,102,0,105,207
CTN 1-B3,177,154,158,489,0,444,933
CTN 1-C1,231,215,233,679,0,647,1326
CTN 1-C2,12,10,11,33,0,30,63
CTN 1-D1,145,119,119,383,0,334,717
CTN 2-A,132,123,123,378,0,345,723
CTN 2-B,222,198,200,620,0,421,1041
CTN 2-C1,216,175,200,591,0,459,1050
CTN 3-A,247,196,212,655,0,545,1200
CTN 3-B,212,186,193,591,0,477,1068
CTN 3-C,143,122,132,397,0,419,816
ENG-A,217,186,194,597,0,387,984
ENG-B,155,131,140,426,0,351,777
ENG-C,143,120,125,388,0,245,633
ENG-D,170,159,167,496,0,272,768
ENG-E,203,158,181,542,0,343,885
ENG-F,149,137,161,447,0,279,726
ENG-G,192,157,180,529,0,347,876
ENG-H,137,106,121,364,0,266,630
ENG-I,137,118,125,380,0,208,588
ENG-J,154,117,134,405,0,276,681
PHBG,39,39,55,133,0,134,267
TR 1-B2,14,10,12,36,0,30,66
UN-A,90,80,77,247,0,248,495
UN-B,170,137,147,454,0,410,864
UN-C1,117,98,107,322,0,341,663
UN-D,215,187,206,608,0,475,1083
UN-E,137,125,127,389,0,415,804