Precinct,Sharon A. Lowry,Scott R. Paulson,Luke Trubee,Total Votes Cast,Overvotes,Undervotes,Contest Total
CV-A,59,35,23,117,0,55,172
CV-B,129,124,62,315,0,183,498
CV-C,87,79,42,208,0,78,286
CV-D,70,54,41,165,0,73,238
CV-E,136,142,60,338,0,166,504
CV-F,153,143,76,372,0,172,544
CV-G,169,142,76,387,0,223,610
CV-H,229,218,97,544,0,268,812
CV-I1,192,195,84,471,0,185,656
CV-I2,0,0,0,0,0,0,0
CV-J,157,129,77,363,0,133,496
CV-K,166,150,67,383,0,193,576
CV-L,187,166,88,441,0,225,666
CV-M,141,118,70,329,2,159,490
CV-N,147,148,52,347,0,147,494
CV-O,211,182,75,468,0,170,638
CV-P,172,180,71,423,2,171,596
CV-Q,130,132,60,322,0,164,486
CV-R,113,77,46,236,0,124,360
WASTWP-A,163,161,72,396,0,110,506
WASTWP-B,179,179,97,455,0,123,578
WASTWP-C,171,168,68,407,0,195,602
WASTWP-D,142,138,51,331,0,107,438
WASTWP-E,182,185,87,454,0,146,600
WASTWP-F,126,128,54,308,0,118,426
WASTWP-G,217,179,109,505,0,171,676
WASTWP-H,164,181,84,429,0,111,540
WASTWP-I,106,92,31,229,0,91,320
WASTWP-J,144,142,60,346,0,112,458
WASTWP-K,161,166,69,396,0,102,498
WASTWP-L,113,99,33,245,2,75,322
WASTWP-M,176,175,70,421,0,109,530
WASTWP-N,120,93,60,273,0,63,336
WASTWP-O,128,133,72,333,0,107,440
WASTWP-P,121,146,64,331,0,111,442
WASTWP-Q,132,138,63,333,0,119,452
WASTWP-R,106,126,77,309,0,91,400
WASTWP-S,145,145,52,342,0,86,428
WASTWP-T,119,104,46,269,0,77,346
WASTWP-U,180,175,57,412,0,124,536
WASTWP-V,155,144,71,370,0,128,498
WASTWP-W,101,100,42,243,0,63,306
WASTWP-X,131,130,52,313,0,109,422
WASTWP-Y,179,168,94,441,0,149,590
WASTWP-Z,148,166,58,372,0,138,510
WASTWP-AA,171,152,91,414,0,176,590
WASTWP-BB,113,115,51,279,0,59,338
WASTWP-CC,185,200,97,482,0,142,624