Precinct,Leslie A. Miller,Nate Mundy,Dormetria Robinson Thompson,Total Votes Cast,Overvotes,Undervotes,Contest Total
KT 3-I2,0,0,2,2,0,4,6
MIATWP-B,90,77,82,249,0,180,429
MIATWP-G,72,74,65,211,0,161,372
MIATWP-H,79,57,58,194,0,199,393
MIATWP-L1,95,89,86,270,0,234,504
MIATWP-N2,26,26,23,75,0,57,132
MIATWP-O,139,144,124,407,0,328,735
MIATWP-R,52,49,50,151,0,122,273
MIATWP-U,69,63,64,196,0,158,354
MOR 1-A2,14,11,14,39,0,48,87
MOR 2-A1,99,76,80,255,0,234,489
MOR 3-A1,63,57,49,169,0,194,363
MOR 4-A,47,33,47,127,0,101,228
MOR 4-B,19,15,21,55,0,83,138
WCR-A1,54,46,51,151,0,215,366
WCR-B,97,90,72,259,0,263,522
WCR-C,104,101,102,307,0,257,564
WCR-D,112,111,86,309,0,324,633
WCR-E,49,37,56,142,0,122,264
WCR-F,48,45,55,148,0,131,279
WCR-G,109,108,111,328,0,260,588
WCR-H,54,69,66,189,0,246,435
WCR-I,33,25,32,90,0,102,192